inflow_surf,flux_surf,massflow_surf,Reff
0.3796824710468223,0.0026083130335032333,3.422518203940047e-05,0.037384633524336706
0.1356808403792103,0.0006831238849785899,1.85720907114241e-05,0.04059999737121536
-0.19704690129724475,-0.0008350063784030453,3.891824842975687e-06,0.03355986053703659
0.3088203012988454,0.0015275147403930871,3.644424243163021e-05,0.03982079751076205
-0.019657145482511684,-8.227024160462602e-05,1.619220788525479e-06,0.04659517771471112
0.03852235320913372,0.0001769117764128973,2.848876197438843e-06,0.03225988557992676
-0.02387529673184147,-8.937386353763646e-05,-4.5596114945005015e-07,0.034888446304736656
-0.010739430074410855,-5.9824453936295605e-05,1.5105056289150138e-05,0.05932335500130181
-0.02348990250918117,-0.00015032785771198722,-1.1181578355325535e-06,0.041694269921088906
0.019388672897985675,9.637438238414572e-05,9.79687320060975e-06,0.047793004983964646
0.05490741319630193,0.00034946401987955114,5.095521779305026e-06,0.034141939145286064
0.06232592549972135,0.0004173112787977455,2.8351452577252564e-05,0.04700125637955325
0.05096030808078924,0.0003754527121251316,1.181484234593419e-06,0.03566267338025528
0.11216490858101638,0.0005796669470028535,6.015985001395652e-05,0.052098219215810995
-0.05244927364579695,-0.00023428188474786086,8.002777742301997e-07,0.033227562864158414
0.07724111758397353,0.00036846771181818136,1.800867077464251e-06,0.037543044880576686
0.20008239194754543,0.0007584831978215291,5.615621781473758e-06,0.03560430556173142
